size		Naive		BBST		Trie		HashTable
179	1154368600		485200		143700		2015000
180	1164037600		487000		144800		2028000
181	1173676700		488600		146000		2038600
182	1178952100		490100		146500		2039700
183	1187358600		491800		147400		2047500
184	1190871400		493700		148400		2051700
185	1194912700		495400		149100		2065400
186	1202568000		497600		149800		2069400
187	1207787800		499800		150500		2077200
188	1216516900		501800		151300		2096500
189	1225297400		503200		152000		2282800
190	1234192300		505500		152300		2297900
191	1243579500		509600		152800		2305900
192	1253930800		512900		153100		2322400
193	1263869800		515900		153400		2338500
194	1270993100		518000		153800		2343500
195	1277206100		521100		155000		2350100
196	1286562300		523100		155900		2368300
197	1293759600		526300		156800		2380100
198	1302706200		528900		157900		2421200
199	1312383100		531600		158100		2437200
200	1312661100		533600		158700		2438900
201	1321125800		536100		159900		2447100
202	1326328000		539300		161200		2467100
203	1334924700		542600		162200		2497700
204	1343318900		545400		163100		2503600
205	1348781300		547100		163600		2517600
206	1348781500		549500		163700		2518100
207	1350497800		551200		165200		2520200
208	1355218600		556400		166300		2526700
209	1365235300		559800		166600		2532600
210	1374095400		563500		167500		2539200
211	1379347800		565900		168800		2543100
212	1384780500		568200		169700		2544500
213	1393050900		570500		170500		2549300
214	1401491400		573700		171600		2573400
215	1411704900		577400		172000		2593700
216	1421792000		581000		172900		2600000
217	1427009800		584100		174500		2620700
218	1430735800		586500		175300		2625000
219	1436300500		589500		176200		2626600
220	1439857200		591700		176800		2629800
221	1439857500		593800		177000		2630200
222	1442240100		595500		177900		2634200
223	1446330000		597300		179600		2638600
224	1448649300		600200		180800		2646800
225	1451993900		603000		182100		2662900
226	1459028800		605600		182900		2674100
227	1462109200		607300		183700		2677900
228	1471492300		609700		184500		2682800
229	1474933800		611500		185300		2687100
230	1482040100		613700		186400		2698800
231	1482711200		615300		187100		2700900
232	1483392900		616600		187800		2702200
233	1491304900		619000		188700		2707400
234	1499317500		621800		189800		2713100
235	1509029700		624800		190000		2729400
236	1520163100		628200		190500		2737900
237	1523802800		630700		191600		2744700
238	1524073200		632500		192300		2746000
239	1531931800		635200		193400		2753000
240	1540252400		637700		194600		2757900
241	1547435800		639900		195300		2769400
242	1547712000		641900		195800		2770500
243	1552390600		643600		196800		2813200
244	1556448800		645400		197400		2819700
245	1560532400		648300		198300		2823300
246	1564143200		650100		199300		2827100
247	1573410700		652600		199500		2842700
